"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    6 January 1980"
"Time:                   22:33:03"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0CA.DAT"
"Level: Cycle Data"
"Data Starts Here"
5 "Stat 87/86 S-2 exp"    0.7106957   0.0048    0.7106957   0.0048  10  10
5 "Stat 87/86 S-3 exp"    0.7100432   0.0039    0.7100659   0.0025   9  10
5 "Stat 84/86 exp corr"    0.0564361   0.0276    0.0564361   0.0276  10  10
5 "Dyn 84/86 power law"    0.0565132   0.0253    0.0565132   0.0253  10  10
5 "Dyn 84/88 power law"    0.0067441   0.0262    0.0067441   0.0262  10  10
5 "87Rb ppm L2-S2"   19.6313286  38.3596   19.6313286  38.3596  10  10
5 "88Sr volts S-3"    3.4588186   0.7896    3.4588186   0.7896  10  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.206430923E-001  7.103125128E-001  7.102900591E-001  7.103349664E-001  5.639655384E-002  7.100657676E-001  7.107794340E-001  7.100885333E-001  5.636491843E-002  5.645289828E-002  6.736695013E-003  3.297342275E+001  3.323577882E+000
1.206468791E-001  7.102741515E-001  7.102491095E-001  7.102991935E-001  5.652443772E-002  7.099792035E-001  7.107347024E-001  7.100633107E-001  5.649247248E-002  5.657295642E-002  6.750991071E-003  1.983365707E+001  3.358173610E+000
1.206376767E-001  7.102764748E-001  7.102676339E-001  7.102853157E-001  5.643137402E-002  7.100090411E-001  7.107832983E-001  7.100048742E-001  5.639660437E-002  5.648639608E-002  6.740320149E-003 -6.337712716E+000  3.390870334E+000
1.206509387E-001  7.102432198E-001  7.102625017E-001  7.102239378E-001  5.647767937E-002  7.101392874E-001  7.105537976E-001  7.101127417E-001  5.644267534E-002  5.651852756E-002  6.744129686E-003 -1.884276232E+000  3.421213390E+000
1.206477282E-001  7.101997763E-001  7.102250512E-001  7.101745014E-001  5.642602339E-002  7.099191273E-001  7.107090972E-001  7.098385576E-001  5.639428130E-002  5.646839684E-002  6.738533731E-003  3.549443999E+001  3.449034215E+000
1.206478474E-001  7.101753906E-001  7.101550871E-001  7.101956940E-001  5.647296994E-002  7.099309150E-001  7.105268268E-001  7.101133512E-001  5.643314425E-002  5.651045815E-002  6.742590360E-003 -1.451576165E+001  3.474842073E+000
